Name,Graduate Year
Lei CHEN,"0     2005
Name: 0, dtype: object"
Pan HUI,"0     2008
Name: 0, dtype: object"
Vincent Kin Nang LAU,"0     1998
Name: 0, dtype: object"
Irene Man Chi Lo,"0     1992
Name: 0, dtype: object"
Lionel Ming-Shuan NI,"0     1980
Name: 0, dtype: object"
Huamin QU,"0     2004
Name: 0, dtype: object"
Fu-Gee TSUNG,"0     1997
Name: 0, dtype: object"
Hui XIONG,"0     2005
Name: 0, dtype: object"
Liuqing YANG,"0     2004
Name: 0, dtype: object"
Qiang YANG,"0     1989
Name: 0, dtype: object"
Qian ZHANG,"0     1999
Name: 0, dtype: object"
Xiaowen CHU,"0     2003
Name: 0, dtype: object"
Qiong LUO,"0     2002
Name: 0, dtype: object"
Danny Hin Kwok TSANG,"0     1989
Name: 0, dtype: object"
Wei WANG,"0     2004
Name: 0, dtype: object"
Kaishun WU,"0     2011
Name: 0, dtype: object"
Yang YANG,"0     2002
Name: 0, dtype: object"
Kang ZHANG,"0     1990
Name: 0, dtype: object"
Ying CUI,"0     2012
Name: 0, dtype: object"
Xinyi HUANG,"0     2009
Name: 0, dtype: object"
Sung Hun KIM,"0     2006
Name: 0, dtype: object"
DIRK KUTSCHER,"0     2003
Name: 0, dtype: object"
Nan TANG,"0     2008
Name: 0, dtype: object"
Felix Xin WANG,"0     2018
Name: 0, dtype: object"
Sean Sihong XIE,"0     2016
Name: 0, dtype: object"
Tengfei CHANG,"0     2018
Name: 0, dtype: object"
Huangxun CHEN,"0     2020
Name: 0, dtype: object"
Yingcong CHEN,"0     2020
Name: 0, dtype: object"
Mingming FAN,"0     2019
Name: 0, dtype: object"
Zijun GONG,"0     2021
Name: 0, dtype: object"
Varvara GULJAJEVA,"0     2018
Name: 0, dtype: object"
Guobiao HU,"0     2020
Name: 0, dtype: object"
Zhilu LAI,"0     2018
Name: 0, dtype: object"
Jia LI,"0     2021
Name: 0, dtype: object"
Lei LI,"0     2018
Name: 0, dtype: object"
Junwei LIANG,"0     2021
Name: 0, dtype: object"
Yuxuan LIANG,"0     2023
Name: 0, dtype: object"
Hao LIU,"0     2017
Name: 0, dtype: object"
Li LIU,"0     2019
Name: 0, dtype: object"
Yuyu LUO,"0     2023
Name: 0, dtype: object"
RAUL GIANCARLO MARIA MASU,"0     2022
Name: 0, dtype: object"
Ying SUN,"0     2022
Name: 0, dtype: object"
Jing TANG,"0     2018
Name: 0, dtype: object"
Gareth John TYSON,"0     2010
Name: 0, dtype: object"
Hao WANG,"0     2023
Name: 0, dtype: object"
Addison Lin WANG,"0     2021
Name: 0, dtype: object"
Wenjia WANG,"0     2018
Name: 0, dtype: object"
Zeyu WANG,"0     2022
Name: 0, dtype: object"
Zeyi WEN,"0     2015
Name: 0, dtype: object"
Hong XING,"0     2016
Name: 0, dtype: object"
David Kei Man YIP,"0     2015
Name: 0, dtype: object"
Luwen YU,"0     2021
Name: 0, dtype: object"
Wei ZENG,"0     2015
Name: 0, dtype: object"
Theodoros PAPATHEODOROU,"0     2007
Name: 0, dtype: object"
Rui HU,"0     2017
Name: 0, dtype: object"
Jake Junjie ZHANG,"0     2015
Name: 0, dtype: object"
Meihui ZHANG,"0     2013
Name: 0, dtype: object"
Xiao Fang ZHOU,"0     1994
Name: 0, dtype: object"
Xiang CHENG,"0     2009
Name: 0, dtype: object"
Jian GUO,"0     2011
Name: 0, dtype: object"
Feifei LI,"0     2007
Name: 0, dtype: object"
Hang LI,"0     1998
Name: 0, dtype: object"
Shipeng LI,"0     1996
Name: 0, dtype: object"
Jiangchuan LIU,"0     2003
Name: 0, dtype: object"
Tie-Yan LIU,"0     2003
Name: 0, dtype: object"
Dou SHEN,"0     2007
Name: 0, dtype: object"
Keyang TANG,"0     2007
Name: 0, dtype: object"
Da Cheng TAO,"0     2006
Name: 0, dtype: object"
Xiaoyu WANG,"0     2012
Name: 0, dtype: object"
Xing XIE,"0     
Name: 0, dtype: object"
Jie Ping YE,"0     2005
Name: 0, dtype: object"
Jing YUAN,"0     2012
Name: 0, dtype: object"
Liang TAN,"0     2019
Name: 0, dtype: object"
Dian ZHANG,"0     2010
Name: 0, dtype: object"
Haijie HU,"0     2007
Name: 0, dtype: object"
Bo Wen ZHOU,"0     2003
Name: 0, dtype: object"
Chen ZHANG,"0     
Name: 0, dtype: object"
